route_id,shape_id,color
6613,296959,#000000
6614,296963,#0a000b
6615,296977,#140017
6616,296984,#1e0022
6618,297005,#28002e
6619,297022,#320039
6620,297045,#3c0045
16718,297058,#460050
6621,297081,#50005c
6622,297092,#5a0067
6623,297122,#640073
6624,297133,#6e007e
6625,297146,#770088
6626,297161,#79008a
30055,297176,#7a008b
6627,297179,#7c008d
6628,297190,#7d008e
6629,297192,#7e008f
6630,297200,#800091
6631,297207,#810092
39304,297209,#830094
11201,297211,#840095
6633,297213,#860097
6635,297223,#870098
6636,297226,#850099
6637,297241,#79009b
33538,297249,#6e009c
45596,297251,#62009e
6638,297253,#57009f
6641,297257,#4b00a1
6642,297265,#4000a2
6643,297272,#3400a3
46099,297275,#2900a5
6790,297277,#1d00a6
6644,297280,#1200a8
6796,297285,#0600a9
6645,297287,#0000ac
16719,297289,#0000b0
6646,297291,#0000b5
6647,297298,#0000b9
6648,297302,#0000bd
32799,297305,#0000c1
6649,297307,#0000c6
6662,297317,#0000ca
6650,297321,#0000ce
6651,297326,#0000d3
6776,297334,#0000d7
7322,297336,#0000db
33292,297339,#0006dd
6652,297343,#0010dd
6654,297350,#001add
6656,297355,#0024dd
6657,297357,#002edd
6658,297362,#0038dd
6811,297364,#0042dd
6817,297366,#004cdd
6806,297368,#0056dd
6659,297372,#0060dd
6660,297379,#006add
6661,297385,#0074dd
6663,297387,#0079dd
6664,297389,#007cdd
6665,297391,#007fdd
6666,297395,#0082dd
6667,297402,#0085dd
6668,297404,#0088dd
30036,297406,#008add
30037,297410,#008ddd
30038,297412,#0090dd
30039,297417,#0093dd
30040,297419,#0096dd
30041,297424,#0099dd
30043,297429,#009ad9
30044,297433,#009cd5
30045,297438,#009dd1
30046,297442,#009fcc
30047,297444,#00a0c8
30048,297446,#00a1c4
30049,297448,#00a3bf
30050,297450,#00a4bb
22638,297452,#00a6b7
30051,297454,#00a7b2
30584,297456,#00a9ae
16717,297458,#00aaaa
6672,297464,#00aaa7
6673,297476,#00aaa4
6674,297487,#00aaa1
6675,297492,#00aa9e
6780,297498,#00aa9c
39305,297501,#00aa99
22639,297505,#00aa96
6676,297510,#00aa93
6677,297516,#00aa90
6678,297520,#00aa8d
18213,297524,#00aa8a
6679,297527,#00aa86
6680,297533,#00a87a
6682,297540,#00a76f
6683,297548,#00a563
39307,297551,#00a458
6685,297553,#00a34c
6686,297560,#00a141
36799,297563,#00a035
6688,297585,#009e2a
6689,297587,#009d1e
10232,297614,#009b13
6693,297617,#009a07
6779,297619,#009a00
6777,297624,#009d00
6778,297627,#00a000
34544,297631,#00a300
6698,297633,#00a500
6822,297636,#00a800
6699,297640,#00ab00
6700,297642,#00ae00
6701,297650,#00b100
6702,297657,#00b400
6703,297660,#00b700
6704,297664,#00ba00
6705,297672,#00bc00
6821,297687,#00bf00
6706,297690,#00c200
6707,297695,#00c500
6708,297698,#00c800
6709,297702,#00cb00
6710,297706,#00ce00
6712,297710,#00d100
17707,297719,#00d300
6713,297723,#00d600
8290,297725,#00d900
29038,297729,#00dc00
6714,297733,#00df00
40855,297736,#00e200
6715,297739,#00e500
31816,297748,#00e700
31817,297750,#00ea00
31818,297752,#00ed00
31819,297754,#00f000
11692,297756,#00f300
8286,297758,#00f600
6818,297762,#00f900
31820,297764,#00fc00
6819,297767,#00fe00
7321,297770,#0dff00
11693,297772,#1cff00
6718,297775,#2cff00
6719,297777,#3cff00
6720,297779,#4cff00
6721,297781,#5cff00
6722,297783,#6bff00
6723,297786,#7bff00
6724,297791,#8bff00
6725,297796,#9bff00
6726,297804,#aaff00
34542,297815,#baff00
6727,297819,#bffe00
34543,297832,#c3fc00
6728,297837,#c8fb00
6827,297847,#ccf900
6828,297850,#d0f800
13684,297857,#d5f600
6829,297859,#d9f500
9745,297864,#ddf400
6730,297871,#e2f200
6737,297877,#e6f100
6738,297883,#eaef00
23384,297887,#eeee00
6739,297897,#f0eb00
18705,297902,#f1e800
20667,297906,#f2e500
34044,297908,#f4e200
34045,297910,#f5df00
6814,297912,#f7dc00
6815,297918,#f8da00
6816,297923,#fad700
12940,297925,#fbd400
6741,297929,#fcd100
11696,297956,#fece00
6843,297958,#ffcb00
6823,297960,#ffc700
6825,297962,#ffc200
6844,297966,#ffbe00
6747,297968,#ffba00
6748,297975,#ffb500
6749,297986,#ffb100
34540,297994,#ffad00
34541,297996,#ffa800
31821,298000,#ffa400
31822,298005,#ffa000
6799,298012,#ff9c00
6800,298018,#ff9400
34042,298020,#ff8700
34043,298027,#ff7a00
6804,298035,#ff6d00
6805,298040,#ff6000
7224,298046,#ff5300
29040,298048,#ff4600
6754,298050,#ff3900
29039,298055,#ff2d00
8289,298056,#ff2000
6761,298058,#ff1300
6762,298059,#ff0600
30052,298073,#fd0000
30053,298093,#fb0000
6770,298118,#f80000
6771,298120,#f50000
6830,298123,#f20000
6831,298127,#ef0000
6833,298129,#ec0000
6834,298131,#e90000
6835,298134,#e60000
6836,298136,#e40000
6837,298139,#e10000
6838,298146,#de0000
6840,298148,#dc0000
6841,298151,#db0000
37808,298156,#d90000
38311,298159,#d80000
37809,298163,#d60000
37810,298165,#d50000
37807,298172,#d30000
46604,298178,#d20000
6612,296955,#d10000
6617,296987,#cf0000
48855,298185,#ce0000
6716,297743,#cc0000
6717,297745,#cc0f0f
6742,297941,#cc2020
6743,297945,#cc3131
6744,297949,#cc4242
6745,297952,#cc5353
6746,297954,#cc6565
6687,297574,#cc7676
6690,297591,#cc8787
6691,297597,#cc9898
6692,297606,#ccaaaa
13686,298064,#ccbbbb
HD,4484,#cccccc
